MID	Title	altTitles	composer	composer_uri	lyricist	lyricist_uri	arranger	arranger_uri	Editors	Photographers	Illustrators	Publisher	PublisherLocationTest	CopyrightDate	language	text	notes	Donor	Distributor		subjects	CallNumber	PlateNumber	Series	CollectionSource	LargerWork	Keywords	Original_Notes	zImagePath	MidiPath	zNumberOfPages	TitleSearchHits	Incomplete	Jess_Notes
416	Playin' possum : rag time two step		"Duganne, J. Mahlon"	http://id.loc.gov/authorities/names/no2005094531							Jenkins	Jos. W. Stern	"New York, NY"	1909			For piano.|Dedicated to R. E. Welsh.|Pl. no.: 6214-4	Fred and Betsy Miller			Piano music (Ragtime)	CSAM 34			CSAM			"Pl. no.: 6214-4<br>For piano.<br>Dedicated to R. E. Welsh."	416_1.jpg		5	686	N	
417	Memories of the south		"Thaler, Rudolf"	http://id.loc.gov/authorities/names/no2009076379								The Eclipse Publishing Company	"Philadelphia, PA"	1908			For piano solo.|Foster Hall Collection cutter no.: NPC13.521.	Fred and Betsy Miller; Hemrick Salley			"Piano music, Arranged"	CSAM 35			CSAM			"For piano solo.<br>Foster Hall Collection cutter no.: NPC13.521."	417_1.jpg		9	642	N	
442	"Sunday, Monday or always"		"Van Heusen, Jimmy, 1913-"	http://id.loc.gov/authorities/names/n87146380	"Burke, Johnny"	http://id.loc.gov/authorities/names/no89004670						Mayfair Music	"New York, NY"	1943	English	First line of text|I just can't help but say. :: First line of refrain|Won't you tell me when we will meet again.	For voice and piano with chord symbols and tablature for guitar.|Second copy in folder.	Mr. Louis and Mrs. Mary Racz ; John G. Sproat			Songs with piano|Motion picture music--Excerpts--Vocal scores with piano	Sheet music 28				Dixie		"For voice and piano with chord symbols and tablature for guitar.<br>First line of text: ""I just can't help but say.""<br>First line of refrain: ""Won't you tell me when we will meet again.""<br>Second copy in folder.<BR>"			0	65	N	
448	Indianola : instrumental novelty and fox trot		"Henry, S. R., 1874-1966"	http://id.loc.gov/authorities/names/no2006072953			"Savino, Domenico, 1882-1973"	http://id.loc.gov/authorities/names/no92006748			Starmer	Jos. W. Stern	"New York, NY"	1917			For piano solo.|Cover illustration by Starmer.|Pl. no.: 8499-2.				Piano music (Ragtime)|Foxtrots|Popular instrumental music--1911-1920	Sheet music 34						For piano solo.<BR>Pl. no.: 8499-2.<BR> Cover illustration by Starmer.	448_1.jpg		4	113	N	
			"Savino, Domenico, 1882-1973"	http://id.loc.gov/authorities/names/no92006748																														
449	The poor people of Paris: Jean's song		"Monnot, Marguerite"	http://id.loc.gov/authorities/names/nr95044570								Reg Connelly Music	"New York, NY"	1954			For voice and piano.|Originally for voice and orchestra.|Pl. no.: RC 105				Songs with piano|Popular music--1951-1960	Sheet music 35						"For voice and piano.<br>Originally for voice and orchestra.<BR>Pl. no.: RC 105<br>"			0	45	N	
457	The sweetheart tree		"Mancini, Henry, 1924-1994"	http://id.loc.gov/authorities/names/n81067977	"Mercer, Johnny, 1909-"	http://id.loc.gov/authorities/names/n82078485						East Hill Music	"New York, NY"	1965	English	First line of text|They say there's a tree in the forest.	For voice and piano with chord symbols and tablature for guitar.				Motion picture music--Excerpts--Vocal scores with piano|Popular music--1961-1970	Sheet music 43				The great race	"true love"	"For voice and piano with chord symbols and tablature for guitar.<br>First line of text: ""They say there's a tree in the forest.""<br>"			0	39	N	
2893	Clair de lune		"Debussy, Claude 1862-1918"	http://id.loc.gov/authorities/names/n79132137			"Reddick, William"	http://id.loc.gov/authorities/names/nr97003052				J. Fischer & Bro.	"Glen Rock, NJ"	1963			"For organ and piano, with Hammond organ registration.|Fischer edition.|2 copies required for performance.|Plate no.: 9391"	Mary Clarkson			"Organ and piano music, Arranged"	Sheet music 1407						"For organ and piano, with Hammond organ registration.<BR>Fischer edition.<BR>2 copies required for performance.<BR>Plate no.:  9391"			0	104	N	
4606	"Brother Will, Brother John"		"Sacco, John, 1905-1987"	http://id.loc.gov/authorities/names/no89020746	"Welborn, Elizabeth Charles, 1903-1990"	http://id.loc.gov/authorities/names/no2009087319						G. Schirmer	"New York, NY"	1947	English	"First line of text|You can't take it with you, Brother Will, Brother John."	For voice and piano.|Pl. no.: 41563 C	Donald Gray; Copy 2: Gene Ferguson			Songs with piano	Sheet music 2945						"Pl. no.: 41563 C<br>For voice and piano.<br>First line of text: You can't take it with you, Brother Will, Brother John."			0	19	N	
5643	The lord is my light		"Allitsen, Frances, 1848-1912"	http://id.loc.gov/authorities/names/no89000113								Boosey & Hawkes		1925	English	First line of text|The Lord is my light and my salvation.	For voice and piano.|For high voice.|Words From Psalm 26.|Plate number: 195-6.				Music by women composers|Sacred songs with piano	Sheet music 3961						"For voice and piano.<BR>First line of text: The Lord is my light and my salvation.<BR>Words From Psalm 26.<BR>For high voice.<BR>Plate number: 195-6."			0	6	N	
