MID	Title	altTitles	composer	composer_uri	lyricist	lyricist_uri	arranger	arranger_uri	Editors	Photographers	Illustrators	Publisher	PublisherLocationTest	CopyrightDate	language	text	notes	Donor	Distributor		subjects	CallNumber	PlateNumber	Series	CollectionSource	LargerWork	Keywords	Original_Notes	zImagePath	MidiPath	zNumberOfPages	TitleSearchHits	Incomplete	Jess_Notes
			"Gillespie, Haven, 1888-1975"	http://id.loc.gov/authorities/names/n92014471	"Gillespie, Haven"	http://id.loc.gov/authorities/names/n92014471																												
			"Coots, J. Fred, 1897-1985"	http://id.loc.gov/authorities/names/n92014476	"Coots, J. Fr"	http://id.loc.gov/authorities/names/n92014476																												
2969	Louisville Lou (that vampin' lady)		"Ager, Milton, 1893-1979"	http://id.loc.gov/authorities/names/no93030552	"Yellen, Jack. 1892-"	http://id.loc.gov/authorities/names/n85248157					Politzer	"Ager, Yellen & Bornstein"	"New York, NY"	1923	English	"First line of text|Folks, you've heard of scandalous vamps :: First line of chorus|They call the lady Louisville Lou"	For voice and piano.|Cover art by Politzer.|Cover portrait of Miss Grace Hayes.|Copy 2 in container.|Copy 2 cover portrait of Ruth Roye.				Songs with piano	Sheet music 1908					kentucky ; vamping	"For voice and piano.<BR>First line of text:  Folks, you've heard of scandalous vamps<BR>First line of chorus:  They call the lady Louisville Lou<BR>Cover art by Politzer.<BR>Cover portrait of Miss Grace Hayes.<BR>Copy 2 in container.<BR>Copy 2 cover portrait of Ruth Roye.<BR>"			0	128	N	
2974	Everything is peaches down in Georgia		"Ager, Milton, 1893-1979"	http://id.loc.gov/authorities/names/no93030552	"Clarke, Grant"	http://id.loc.gov/authorities/names/n81046661						Leo Feist	"New York, NY"	1918	English	First line of text|Down in Georgia there are peaches :: First line of chorus|Ev'rything is peaches down in Georgia.	For voice and piano.|War edition.|Pl. no.: 3915-2.				Women--Songs and music|Georgia--Songs and music|Southern States--Songs and music|Popular music--United States--1911-1920|Songs with piano	Sheet music 1828						"For voice and piano.<BR>First line of text: Down in Georgia there are peaches<.BR>First line of chorus: Ev'rything is peaches down in Georgia.<BR>War edition.<BR>Pl. no.: 3915-2."			0	98	N	
			"Meyer, George W., 1884-1959"	http://id.loc.gov/authorities/names/n88051275																														
2978	Kentucky dream		"Henry, S. R."	http://id.loc.gov/authorities/names/no2006072953	"Warren, Frank H."	http://id.loc.gov/authorities/names/no98109659						Jos. W. Stern & Co.	"New York, NY"	1918	English|French	First line of text|Hear the Music playing an old familiar strain :: First line of French text|Entends tu les sons de l'harmonieux refrain	For voice and piano.|Text in English (by Frank H. Warren) and French (By Agnetta Floris).|Plate no.: 8689				Songs with piano|Kentucky--Songs and music	Sheet music 1910					Dixieland	"For voice and piano.<BR>Text in English (by Frank H. Warren) and French (By Agnetta Floris).<BR>First line of text:  Hear the Music playing an old familiar strain<BR>First line of text (Fre.):  Entends tu les sons de l'harmonieux refrain<BR>Plate no.:  8689<BR>"			0	59	N	
			"Onivas, D. (David), 1882-1973"	http://id.loc.gov/authorities/names/no92006748	Agnetta Floris																													
4880	"Money, O!"		"Head, Michael, 1900-1976"	http://id.loc.gov/authorities/names/n80125362	"Davies, W. H. (William Henry), 1871-1940"	http://id.loc.gov/authorities/names/n83139060						Boosey & Hawkes	"London, England"	1929	English	"First line of text|When I had money, money, O!"	Version for high voice and piano.|Text printed separately on. p. [ii].|Dedicated to Hester Berry.|Pl. no.: H. 12797	Donald Gray			Songs (High voice) with piano	Sheet music 3206				Songs of the countryside		"Pl. no.: H. 12797<br>Version for high voice and piano.<br>Text printed separately on. p. [ii].<br>Dedicated to Hester Berry.<br>First line of text: When I had money, money, O!"			0	14	N	
2998	Viennese Melody		"Gaertner, Eduard"	http://id.loc.gov/authorities/names/no96022922			"Kreisler, Fritz"	http://id.loc.gov/authorities/names/n81015317				Carl Fischer	"New York, NY"	1915			"For violin and piano.|Score for violin and piano, with part for violin.|Plate no.: 18709"	Erik L. Collins ; Victoria Collins			Violin and piano music	Sheet music Large 876		 Austrian folk songs transcribed for violin with piano accompaniment				"For violin and piano.<BR>Score for violin and piano, with part for violin.<BR>Plate no.:  18709<BR>"			0	105	N	
4324	No particular place to go		"Berry, Chuck"	http://id.loc.gov/authorities/names/n82228079	"Berry, Chuck"	http://id.loc.gov/authorities/names/n82228079						Arc Music Corp	"New York, NY"	1964	English	"First line of text|Riding along in my automobile, my baby beside me at the wheel."	For voice and piano.|Chord symbols included.	Isabelle Mandel			Songs (High voice) with piano|Popular music--1961-1970	Sheet music 2698						"For voice and piano.<BR>First line of text: ""Riding along in my automobile, my baby beside me at the wheel.""<BR>Chord symbols included.<BR>"			0	34	N	
2949	Carolina coranata: (University of South Carolina)		"Matteson, Maurice"	http://id.loc.gov/authorities/names/no92014236	"Wauchope, George A."	http://id.loc.gov/authorities/names/nb99034282								192-	English	First line of text|We hail thee Carolina and sing thy high praise	"For voice and piano, with chord symbols and diagrams for ukulele.|""Words by Dr. George A. Wauchope head of English Dept. U.S.C.""|Music arranged from ""Flow Gently Sweet Afton"" by Mr. Maurice Matteson Dir. of Music.|Page 35 of ""Collegiate Song Book""."				Songs with piano	Sheet music 1825						"For voice and piano, with chord symbols and diagrams for ukulele.<BR>First line of text:  We hail thee Carolina and sing thy high praise<BR>""Words by Dr. George A. Wauchope head of English Dept. U.S.C.""<BR>Music arranged from ""Flow Gently Sweet Afton"" by Mr. Maurice Matteson Dir. of Music.<BR>Page 35 of ""Collegiate Song Book"".<BR>"			0	1446	N	
2954	Walkin' my baby back home		"Ahlert, Fred E."	http://id.loc.gov/authorities/names/no93031859	"Turk, Roy"	http://id.loc.gov/authorities/names/no89009291					Ben Harris	"De Sylva, Brown and Henderson"	"New York, NY"	1930	English	"First line of text|I've an agreeable baby :: First line of chorus|Gee! It's great, after bein' out late"	"For voice and piano.|Cover art by Ben H[arris].|""Special sample copy""--1st page.|Reverse side is copy of ""Five-six-seven-eight nine little miles from Ten-Ten-Tennessee."""				Songs with piano	Sheet music 1896						"For voice and piano.<BR>First line of text:  I've an agreeable baby<BR>First line of chorus:  Gee!  It's great, after bein' out late<BR>Cover art by Ben H[arris].<BR>""Special sample copy""--1st page.<BR>Reverse side is copy of ""Five-six-seven-eight nine little miles from Ten-Ten-Tennessee.""<BR>"			0	142	N	
2960	"Good night, farewell"						"Emerson, Walter"					L.E. Whipple	"Boston, MA"	1882			"For cornet and piano.|""Arranged especially for and performed by Mr. Walter Emerson, with Gilmore's band...""--cover.|Cover portrait of Walter Emerson.|Plate no.: 1094."	Betsy Miller			Cornet and piano music	Sheet music Large 840		Walter Emerson's solos for cornet and piano				"For cornet and piano.<BR>""Arranged especially for and performed by Mr. Walter Emerson, with Gilmore's band...""--cover.<BR>Cover portrait of Walter Emerson.<BR>Plate no.:  1094.<BR>"			0	258	N	
2961	Annie Laurie						"Emerson, Walter"					L.E. Whipple	"Boston, MA"	1882			"For cornet and piano.|Score with seperate solo cornet part.|""Arranged especially for and performed by Mr. Walter Emerson, with Gilmore's Band...""--Cover.|Cover portrait of Walter Emerson.|Plate no.: 5305.| Plate no. (Cornet solo): 5367."	Betsy Miller			"Ballads--Scotland--Instrumental settings|Cornet and piano music, Arranged"	Sheet music Large 838		Walter Emerson's solos for cornet and piano				"For cornet and piano.<BR>""Arranged especially for and performed by Mr. Walter Emerson, with Gilmore's Band...""--Cover.<BR>Cover portrait of Walter Emerson.<BR>Score with seperate solo cornet part.<BR>Plate no.:  5305.<BR>Plate no. (Cornet solo):  5367.<BR>  "			0	368	N	
2962	Grand Russian fantasia (with variations)		"Levy, Jules, 1838-1903"	http://id.loc.gov/authorities/names/no95037050								L.A. Blanchard	"Boston, MA"	188-				Betsy Miller			Cornet and piano music	Sheet music Large 837		Solos and fantaisies for cornet with piano-forte accompaniment by eminent composers				"For cornet and piano.<BR>"			0	556	N	
2963	Emily polka		"Levy, Jules, 1838-1903"	http://id.loc.gov/authorities/names/no95037050								Oliver Ditson	"Boston, MA"	188-			For cornet (in A) and piano.|Seperate parts for piano and cornet.|Plate no.: 47698	Betsy Miller			Cornet and piano music--Parts	Sheet music Large 836		Cornet and piano album:  a collection of favorite melodies				"For cornet (in A) and piano.<BR>Seperate parts for piano and cornet.<BR>Plate no.:  47698<BR>"			0	382	N	
2973	Georgia moonlight		"Schmidt, Erwin R., 1890-1966"	http://id.loc.gov/authorities/names/no2009098290	"Thornton, Roy"	http://id.loc.gov/authorities/names/nb2007003417					C.R. Agnew	Van Alstyne & Curtis	"Chicago, IL|New York, NY"	1920	English	First line of text|When the moon is all a-glow :: First line of chorus|In my dreams I see the Georgia moon a-shining	For voice and piano.|Cover art by C.R. Agnew.				Songs with piano|Georgia--Songs and music	Sheet music 1914						"For voice and piano.<BR>First line of text:  When the moon is all a-glow<BR>First line of chorus:  In my dreams I see the Georgia moon a-shining<BR>Cover art by C.R. Agnew.<bR>"			0	88	N	
					"Gillespie, Haven"	http://id.loc.gov/authorities/names/n92014471																												
2977	Silver Swanee		"Schwartz, Jean, 1878-1956"	http://id.loc.gov/authorities/names/n92057570	"Cantor, Eddie, 1892-1964"	http://id.loc.gov/authorities/names/n83046955						Jerome H. Remick & Co.	"New York, NY|Detroit, MI"	1922	English	First line of text|I see a shadow standing by the Swanee shore once more :: First line of chorus|Way down upon the silver swanee someone's calling	"For voice and piano.|Cover portrait of Willie and Gene Howard.|""As introduced by Willie and Gene Howard in the Passing Show of 1922 at the Winter Garden, New York City.""--cover.|Operatic edition.|Plate no.: 264."				Songs with piano	Sheet music 1911						"For voice and piano.<bR>First line of text:  I see a shadow standing by the Swanee shore once more<BR>First line of chorus:  Way down upon the silver swanee someone's calling<BR>Cover portrait of Willie and Gene Howard.<BR>""As introduced by Willie and Gene Howard in the Passing Show of 1922 at the Winter Garden, New York City.""--cover.<BR>Operatic edition.<BR>Plate no.:  264.<BR>"			0	107	N	
2980	You'll always find a lot of sunshine in my old Kentucky home		"Cowan, Rubey, 1891-1957"	http://id.loc.gov/authorities/names/no2003016759	"Brown, Lew"	http://id.loc.gov/authorities/names/no90010584					"Walton, E. E."	Broadway Music	"New York, NY"	1918	English	First line of text|Oh! The blues have flown away :: First line of chorus|You'll always find a lot of sunshine	For voice and piano.|Cover art by E.E. Walton.				Songs with piano|Kentucky--Songs and music	Sheet music Large 834						"For voice and piano.<BR>First line of text:  Oh!  The blues have flown away<BR>First line of chorus:  You'll always find a lot of sunshine<BR>Cover art by E.E. Walton.<BR>"			0	219	N	
2983	There's a cradle in Caroline!		"Ahlert, Fred E."	http://id.loc.gov/authorities/names/no93031859	"Lewis, Sam M."	http://id.loc.gov/authorities/names/no91012304					Barbelle	"Waterson, Berlin & Snyder"	"New York, NY"	1927	English	First line of text|There's no rest for all the weary :: First line of chorus|There's a cradle in Caroline	"For voice and piano, with chord diagrams for ukulele.|Cover art by Barbelle.|Cover portrait of the Fifth City Four.|Plate no.: 1791"				Songs with piano|States--The Carolinas--Songs and music	Sheet music 1923						"For voice and piano, with chord diagrams for ukulele.<BR>First line of text:  There's no rest for all the weary<BR>First line of chorus:  There's a cradle in Caroline<BR>Cover art by Barbelle.<BR>Cover portrait of the Fifth City Four.<BR>Plate no.:  1791<BR>"			0	872	N	
					"Young, Joe"	http://id.loc.gov/authorities/names/no90019793																												
2984	Carolina sweetheart		"James, Billy"	http://id.loc.gov/authorities/names/no2007058913	"James, Billy"	http://id.loc.gov/authorities/names/no2007058913					Barbelle	A.J. Stasny Music Co.	"New York, NY"	1925	English	First line of text|Caroline I hear you calling me :: First line of chorus|Carolina sweetheart I miss you	"For voice and piano, with chord symbols and diagrams for ukulele.|Includes part for male quartet.|Cover art by Barbelle.|Cover portrait of Joseph Knecht and his Waldorf Astoria Hotel Orchestra."				Waltzes|Songs with piano	Sheet music 1922						"For voice and piano, with chord symbols and diagrams for ukulele.<BR>First line of text:  Caroline I hear you calling me<BR>First line of chorus:  Carolina sweetheart I miss you<BR>Includes part for male quartet.<BR>Cover art by Barbelle.<BR>Cover portrait of Joseph Knecht and his Waldorf Astoria Hotel Orchestra.<BR>"			0	1056	N	
2985	Virginia:  A Yankee Intermezzo		"Ring, Justin (Ringleben, Justin), 1876-1963"	http://id.loc.gov/authorities/names/no98094700							Starmer	Seminary Music Co.	"New York, NY"	1907			Cover title: Virginia: a musical oddity.|For solo piano.|March and two-step.|Cover art by Starmer.				Marches|Piano music	Sheet music Large 842						"For solo piano.<BR>March and two-step.<BR>Cover title:  Virginia:  a musical oddity.<BR>Cover art by Starmer.<BR>"			0	100	N	
2986	On the old Virginia shore		"Gabriel, Edward"	http://id.loc.gov/authorities/names/n2005016362	"Browning, Dorothy"							McKinley Music Co.	"Chicago, IL|New York, NY"	1905	English	First line of text|Many years ago I wandered to a cottage by the sea :: First line of refrain|On the Old Virginia shore	"For voice and piano.|Cover art of moon reflected by river.|Copy 2 in folder, gift of Karlene Jennings.|Plate no.: 1013"				Songs with piano|Virginia--Songs and music	Sheet music Large 844						"For voice and piano.<BR>First line of text:  Many years ago I wandered to a cottage by the sea<BR>First line of refrain:  On the Old Virginia shore<BR>Cover art of moon reflected by river.<BR>Plate no.:  1013<BR>Copy 2 in folder, gift of Karlene Jennings."			0	78	N	
3107	Valcik in D flat		"Mokrejs, John, [1875-1968]"	http://id.loc.gov/authorities/names/no93036526								Clayton F. Summy Co.	"Chicago, IL|New York, NY"	1940			For solo piano.|Revised edition.	Alice Abdalla			Piano music	Sheet music Large 901						"For solo piano.<BR>Revised edition.<BR>"			0	90	N	
3116	One fleeting hour		"Lee, Dorothy"	http://id.loc.gov/authorities/names/n82243364	"Fuhrmann, Karl"	http://id.loc.gov/authorities/names/no2008068099						Sam Fox Pub. Co.	"Cleveland, OH"	1915	English	First line of text|When the twilight of eve dims the sun's last ray	For voice (extra low) with piano and violin or cello obligato.	Erik L. Collins ; Victoria Collins			Songs with piano	Sheet music Large 905						"For voice (extra low) with piano and violin or cello obligato.<bR>First line of text:  When the twilight of eve dims the sun's last ray<BR>"			0	139	N	
2970	Alabamy cradle song		"Kahn, Gus, 1886-1941"	http://id.loc.gov/authorities/names/no89002698	"Kahn, Gus"	http://id.loc.gov/authorities/names/no89002698						Jerome H. Remick & Co.	"New York, NY|Detroit, MI"	1925	English	First line of text|Each little rover grows weary some day :: First line of chorus|Rock me to my Mammy's Alabamy cradle song	"For voice and piano, with chord symbols and diagrams for ukulele.|Operatic edition.|Cover portrait of Arthur White.|Plate no.: 29"				Songs with piano|Alabama--Songs and music	Sheet music 1917					Alabama	"For voice and piano, with chord symbols and diagrams for ukulele.<BR>First line of text:  Each little rover grows weary some day<BR>First line of chorus:  Rock me to my Mammy's Alabamy cradle song<BR>Operatic edition.<BR>Cover portrait of Arthur White.<BR>Plate no.:  29<BR>"			0	105	N	
			"Otis, Arthur"	http://id.loc.gov/authorities/names/n2004078657	"Otis, Arthur"	http://id.loc.gov/authorities/names/n2004078657																												
			"Van Alstyne, Egbert, 1882-1951"	http://id.loc.gov/authorities/names/nr97021570	"Van Alstyne, Egbert"	http://id.loc.gov/authorities/names/nr97021570																												
2971	Headin' for Louisville		"Meyer, Joseph, 1894-1987"	http://id.loc.gov/authorities/names/n86071582	"De Sylva, B. G. (Buddy Gard), 1896-1950"	http://id.loc.gov/authorities/names/n79013020						"Shapiro, Bernstein & Co."	"New York, NY"	1925	English	First line of text|It's kinda hard for me to realize :: First line of chorus|Oh! boy! Headin' for Louisville	For voice and piano.|Cover portrait of Adele Rowland.|Ukulele arrangement by Ed Smalle.				Songs with piano	Sheet music 1916					heading	"For voice and piano.<BR>First line of text:  It's kinda hard for me to realize<BR>First line of chorus:  Oh! boy! Headin' for Louisville<BR>Cover portrait of Adele Rowland.<BR>Ukulele arrangement by Ed Smalle.<BR>"			0	87	N	
2972	Moonlight and Magnolias		"Bilbro, Mathilde"	http://id.loc.gov/authorities/names/no93009028								Hatch Music	"Boston, MA"	1922			"For solo piano.|""Publisher's note: A characteristic addition to recital and home-music repertory, colored by Southern heritages of Spanish dance rhythm. It engages contrasts of tone quality, and judicious pedal blurring. Grade III.""--p.3|Plate no.: H.M.Co.3534."				Piano music	Sheet music 1616						"For solo piano.<BR>""Publisher's note:  A characteristic addition to recital and home-music repertory, colored by Southern heritages of Spanish dance rhythm.  It engages contrasts of tone quality, and judicious pedal blurring.  Grade III.""--p.3<BR>Plate no.:  H.M.Co.3534.<BR>"			0	204	N	
2975	Swanee shore		"Mitchell, Sidney D., 1888-1942"	http://id.loc.gov/authorities/names/n88132417	"Mitchell, Sidney D."	http://id.loc.gov/authorities/names/n88132417					"R.S. (Firm : New York, NY)"	Leo Feist	"New York, NY"	1919	English	"First line of text|Why should I be worrying when anything goes wrong :: First line of chorus|Swanee shore, you are calling me."	For voice and piano.|Cover art by R.S.|Plate no.: 4345.				Songs with piano	Sheet music 1924						"For voice and piano.<bR>First line of text:  Why should I be worrying when anything goes wrong<BR>First line of chorus:  Swanee shore, you are calling me.<BR>Cover art by R.S.<BR>Plate no.:  4345.<BR>"			0	90	N	
			"Fields, Arthur"	http://id.loc.gov/authorities/names/n92097993	"Fields, Arthur"	http://id.loc.gov/authorities/names/n92097993																												
			"Kaufman, Irving"	http://id.loc.gov/authorities/names/n97846201	"Kaufman, Irving"	http://id.loc.gov/authorities/names/n97846201																												
2976	BamBamBamy Shore		"Henderson, Ray, 1896-1970"	http://id.loc.gov/authorities/names/n80063358	"Dixon, Mort, 1892-1956"	http://id.loc.gov/authorities/names/n88132362					Stocker	Jerome H. Remick & Co.	"New York, NY|Detroit, MI"	1925	English	First line of text|I could tell you a tale of ships that sunk and trains that left the rail. :: First line of chorus|Oh a thousand miles I travel'd and a thousand sights I saw.	"For voice and piano, with chord symbols and diagrams for ukulele.|Operatic edition.|Cover art by Stocker.|Cover portrait of Boyd Senter.|Plate no.: 45"				Songs with piano	Sheet music 1912						"For voice and piano, with chord symbols and diagrams for ukulele.<BR>First line of text:  I could tell you a tale of ships that sunk and trains that left the rail.<BR>First line of chorus:  Oh a thousand miles I travel'd and a thousand sights I saw.<BR>Operatic edition.<BR>Cover art by Stocker.<BR>Cover portrait of Boyd Senter.<BR>Plate no.:  45<BR>"			0	57	N	
2990	Walter Emerson's solos for cornet and piano:  volume 1		[Various]				"Emerson, Walter"				A. Howe	White-Smith Publishing	"Boston, MA"	1882			For cornet and piano.|Contents: Bessie polka / Casey -- Nantasket polka / Knoll -- First life guards polka / Innis -- Innesque polka / Innis -- Shepherd's morning song / Suppe -- Innflamatus. Stabat Mater / Rossini -- Cujus animam / Rossini -- Waiting. Romance / Fred ter Linden -- Forever and forever / F. Paoli Tosti -- Nazareth / Gounod -- Palm branches/Faure -- When the quiet moon / Schoendorf -- Ave Marie / Luzzi -- Non e ver ('t is not true) / Mattei -- Non Turno ('t is true) / Centemeri -- Chant de Marie. Nocturne / Lefebre -- Lost chord / Sullivan -- Now I lay me down to sleep / Walbridge -- Crucifixus / Rossini -- Pretty blue-eyed belle / Wellman.|Cover art of Walter Emerson by A. Howe.	Fred and Betsy Miller			Cornet and piano music	Sheet music Large 846						"For cornet and piano.<BR>Contents:  Bessie polka/Casey -- Nantasket polka/Knoll -- First life guards polka/Innis -- Innesque polka/Innis -- Shepherd's morning song/Suppe -- Innflamatus. Stabat Mater/Rossini -- Cujus animam/Rossini -- Waiting. Romance/Fred ter Linden -- Forever and forever/F. Paoli Tosti -- Nazareth/Gounod -- Palm branches/Faure -- When the quiet moon/Schoendorf -- Ave Marie/Luzzi -- Non e ver ('t is not true)/Mattei -- Non Turno ('t is true)/Centemeri -- Chant de Marie. Nocturne/Lefebre -- Lost chord/Sullivan -- Now I lay me down to sleep/Walbridge -- Crucifixus/Rossini -- Pretty blue-eyed belle/Wellman.<BR>Cover art of Walter Emerson by A. Howe.<BR>"			0	611	N	
3000	Danse Russe		"Stravinsky, Igor"	http://id.loc.gov/authorities/names/n79070061			"Albert, Alfred G."	http://id.loc.gov/authorities/names/no96022408				Edward B. Marks Music		1941			Duet for piano.|Plate no.: 11266	Erik L. Collins ; Victoria Collins			"Piano music (Pianos (2)), Arranged--Scores|Ballets--Excerpts--2-piano scores"	Sheet music 1594				Petrouchka		"Duet for piano.<BR>Plate no.:  11266<BR>"			0	131	N	
							"Ruland, Harold L."	http://id.loc.gov/authorities/names/no96055147																										
3065	The gift		"Brown, Mary Helen"	http://id.loc.gov/authorities/names/no2001036183	"Bailey, Grace Helen"							G. Schirmer	"New York, NY"	1913	English	"First line of text|God gave, sweet-heart, two corals from the sea"	For voice and piano.|Plate no.: 24450	Erik L. Collins ; Victoria Collins			Songs with piano--1911-1920	Sheet music 1959					Love	"For voice and piano.<bR>First line of text:  God gave, sweet-heart, two corals from the sea<BR>Plate no.:  24450<BR>"			0	93	N	
3104	"Sonata, op. 10, no. 1"		"Beethoven, Ludwig van, 1770-1827"	http://id.loc.gov/authorities/names/n79107741			"Bulow, Hans von, 1830-1894"	http://id.loc.gov/authorities/names/n50056208				G. Schirmer	"New York, NY"	1923			"For solo piano.|Dedicated ""to Countess von Browne""|Plate no.: 11608"	Alice Abdalla			Piano music|Sonatas (Piano)	Sheet music 1986						"For solo piano.<BR>Dedicated ""to Countess von Browne""<BR>Plate no.:  11608<BR>"			0	79	N	
							"Lebert, Sigmund, 1821-1884"	http://id.loc.gov/authorities/names/no88001018																										
2987	Good evening Caroline		"Von Tilzer, Albert"	http://id.loc.gov/authorities/names/n89621837	"Norworth, Jack"	http://id.loc.gov/authorities/names/n91038972						The York Music Co.	"New York, NY"	1908	English	"First line of text|Strolling down the lane one evening :: First line of chorus|Good evening, Carolina, never saw you looking finer"	For voice and piano.|Cover portrait of Ed Morton.				Songs with piano	Sheet music Large 843					Carrie ; how's your ma ; pa	"For voice and piano.<BR>First line of text:  Strolling down the lane one evening<BR>First line of chorus:  Good evening, Carolina, never saw you looking finer<BR>Cover portrait of Ed Morton.<BR>"			0	1183	N	
2989	My little black lamb		"Viney, Whitney"	http://id.loc.gov/authorities/names/nb2014013595	"Dunbar, Paul Laurence"	http://id.loc.gov/authorities/names/n79004027						Harvey's Greater Minstrels	"Chicago, IL"	1922	English	First line of text|A little pickaniny saw while romping round one day :: First line of chorus|Little black lamb they grieve you so	"For voice and piano.|Cover portrait of ""R.M. Harvey the originator of Something New in Minstrelsy, the only show of its kind in the world.""|""This souvenir song from the Harveys's Greater Minstrels: the world's foremost minstrel""--back cover."				Songs with piano	CSAM 112					zimmerman print	"For voice and piano.<BR>First line of text:  A little pickaniny saw while romping round one day<BR>First line of chorus:  Little black lamb they grieve you so<BR>Cover portrait of ""R.M. Harvey the originator of Something New in Minstrelsy, the only show of its kind in the world.""<BR>""This souvenir song from the Harveys's Greater Minstrels: the world's foremost minstrel""--back cover.<BR>"			0	170	N	
4904	Valse brillante		"Pieczonka, Albert"	http://id.loc.gov/authorities/names/no2008033229					Louis Oesterle			"G. Schirmer, Inc."	"New York, NY"	1898			For piano solo.|Edited and fingered by Louis Oesterle.|Pl. no.: 14159	Jean Woods			Waltzes|Piano music	Sheet music 3230						"Pl. no.: 14159<br>For piano solo.<br>Edited and fingered by Louis Oesterle."			0	66	N	
3121	"Jesu, joy of man's desiring:  Chorale from cantata no. 147"		"Bach, Johann Sebastian, 1685-1750"	http://id.loc.gov/authorities/names/n79021425			"Grace, Harvey, 1874-1944"	http://id.loc.gov/authorities/names/n83134768				Oxford University Press	London	1927				Erik L. Collins ; Victoria Collins			"Organ music, Arranged|Cantatas, Sacred--Excerpts"	Sheet music 2025				Cantata no. 147		For organ.<BR>			0	220	N	
3139	My lord says he's gwinter rain down fire		[Spiritual]		[Spiritual]		"Johnson, J. Rosamond"	http://id.loc.gov/authorities/names/n85282731				Oliver Ditson Company	"Boston, MA"	1928	English	First line of text|My lord	"For mixed voice and piano.|""Counter copy""--stamped on cover.|Publisher no.: 14,258| Plate no.: 76385"	Erik L. Collins ; Victoria Collins			Spirituals (Songs)	CSAM 123		Part songs:  Mixed voices	CSAM			"For mixed voice and piano.<BR>First line of text:  My lord<BR>""Counter copy""--stamped on cover.<BR>Publisher no.:  14,258<BR>Plate no.:  76385<BR>"			0	139	N	
2988	(Oh gee! Say gee! You ought to see) My Gee Gee from the Fiji Isles		"Von Tilzer, Albert"	http://id.loc.gov/authorities/names/n89621837	"Brown, Lew"	http://id.loc.gov/authorities/names/no90010584					Rose Symbol	Broadway Music	"New York, NY"	1920	English	"First line of text|Hiram Perkin, got tired of workin' :: First line of chorus|Oh! Gee! say gee, you ought to see"	For voice and piano.|Cover art by R[ose] S[tarmer].				Songs with piano	Sheet music 1925					Rose Starmer ; circus ; chili bean	"For voice and piano.<BR>First line of text:  Hiram Perkin, got tired of workin'<BR>First line of chorus:  Oh! Gee! say gee, you ought to see<BR>Cover art by R[ose] S[tarmer].<BR>"			0	84	N	
5067	"Joy of Spring: Op. 59, No. 2"		"Schütt, Edouard, 1856-1933"	http://id.loc.gov/authorities/names/n88006193	"Martens, Frederick Herman, 1874-1932"	http://id.loc.gov/authorities/names/n50052451	"Spross, Charles Gilbert"	http://id.loc.gov/authorities/names/n94010093				John Church Company		1914	English	First line of text|Oh tender rose-clear dawning	Three part women's chorus.	Hemrick Salley			"Waltzes|Choruses, Secular (Women's voices, 3 parts) with piano"	Sheet music 3349				"Arranged from Valse ""A La Bien-aimée"		"Three part women's chorus.<br>First line of text: Oh tender rose-clear dawning"			0	16	N	
4711	How great Thou art		"Hine, Stuart K., 1899-"	http://id.loc.gov/authorities/names/no98129745	"Hine, Stuart K., 1899-"	http://id.loc.gov/authorities/names/no98129745						"Manna Music, Inc."	"Minneapolis, MN"	1955	English	First line of text|O Lord my God! When I in awesome wonder consider all the worlds Thy hands have made.	For voice and piano.|Cover portrait of George Beverly Shea.	Kathryn Gregory Heyd			Sacred songs	Sheet music 3044						"For voice and piano.<br>Cover portrait of George Beverly Shea.<br>First line of text: O Lord my God! When I in awesome wonder consider all the worlds Thy hands have made."			0	78	N	
3028	The kwazy wabbit (the crazy rabbit)		"Shaum, John Wesley Jr."		"Shaum, John W."		"Shaum, John W."					Belwin	"New York, NY"	1946	English	"First line of text|I'm a kwazy wabbit, with a goofy habit."	For voice and piano.|Plate no.: Bel.593	Erik L. Collins ; Victoria Collins			Piano music	Sheet music 1889						"For voice and piano.<bR>First line of text:  I'm a kwazy wabbit, with a goofy habit.<BR>Plate no.:  Bel.593<BR>"			0	55	N	Suspect LCSH: Piano music
3058	Spanish dance [Danzas espanolas no. 5]		"Granados, Enrique, 1867-1916"	http://id.loc.gov/authorities/names/n80017865			"Kreisler, Fritz, 1875-1962"	http://id.loc.gov/authorities/names/n81015317				Charles Foley	"New York, NY"	1943			For violin and piano.|Score with part for violin.|Publisher no.: 1187| Plate no.: 19041	Erik L. Collins ; Victoria Collins			"Violin and piano music, Arranged--Scores and parts"	Sheet music 1952						"For violin and piano.<BR>Score with part for violin.<BR>Publisher no.:  1187<BR>Plate no.:  19041<BR>"			0	101	N	
3067	Hora staccato: (Roumanian)		"Dinicu, Grigoras"	http://id.loc.gov/authorities/names/n79105796			"Heifetz, Jascha, 1901-"	http://id.loc.gov/authorities/names/n82025113				Carl Fischer	"New York, NY"	1930			For violin and piano.|Score with part for violin.|Publisher no.: B2224| Plate no.: 25685	Erik L. Collins ; Victoria Collins			Violin and piano music--Scores and parts	Sheet music 1961						"For violin and piano.<BR>Score with part for violin.<BR>Publisher no.:  B2224<BR>Plate no.:  25685<bR>"			0	122	N	
