CurrentURL	MID	editor_data	photographer_data	illustrator_data	altTitles	notes	lang	text	Title	composer_data	lyricist_data	arranger_data	Publisher	PublisherLocationTest	testDates	Donor	Distributor	subject_data	CallNumber	PlateNumber	Series	CollectionSource	LargerWork	Keywords	zImagePath	MidiPath	zNumberOfPages	TitleSearchHits	Incomplete
http://sheetmusic.library.sc.edu/Music.asp?mid=424	424					For voice and piano with chord symbols.|Based on the novel Sweet Thursday by John Steinbeck.|Pl. no.: 949-4	English	First line of text|I leapt before I looked and I got hooked.	The next time it happens	"Rodgers, Richard, 1902-1979|http://id.loc.gov/authorities/names/n50048058"	"Hammerstein, Oscar, II, 1895-1960|http://id.loc.gov/authorities/names/n50020012"		Williamson Music	"New York, NY"	1955			Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211 ; Musicals--Excerpts--Vocal scores with piano|http://id.loc.gov/authorities/subjects/sh2008108139 ; Popular music--1951-1960|http://id.loc.gov/authorities/subjects/sh87003306	Sheet music 16				Pipe dream	love			0	34	N
http://sheetmusic.library.sc.edu/Music.asp?mid=434	434					For voice and piano with chord symbols for guitar.|Sung by Bing Crosby.	English	First line of text|Do you make the most of your five senses. :: First line of refrain|Every time you're near a rose.	Aren't you glad you're you	"Van Heusen, Jimmy, 1913-1990|http://id.loc.gov/authorities/names/n87146380"	"Burke, Johnny, 1908-1964|http://id.loc.gov/authorities/names/no89004670"		Burke & Van Heusen	"New York, NY"	1945			Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211 ; Motion picture music--Excerpts--Vocal scores with piano|http://id.loc.gov/authorities/subjects/sh85088059 ; Popular music--1941-1950|http://id.loc.gov/authorities/subjects/sh87003305	Sheet music 19				Bells of St. Mary's				0	62	N
http://sheetmusic.library.sc.edu/Music.asp?mid=436	436					For voice and piano with chord symbols and tablature for guitar.|Cover illustration of Ingrid Bergman and Gary Cooper.|Pl. no.: 18164-2	Unknown		As long as I live	"Steiner, Max, 1888-1971|http://id.loc.gov/authorities/names/n84184888"	"Tobias, Charles, 1898-1970|http://id.loc.gov/authorities/names/no90010582"		M. Witmark	"New York, NY"	1944			Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211 ; Motion picture music--Excerpts--Vocal scores with piano|http://id.loc.gov/authorities/subjects/sh85088059 ; Popular music--1941-1950|http://id.loc.gov/authorities/subjects/sh87003305	Sheet music 21				Saratoga trunk	love			0	89	N
http://sheetmusic.library.sc.edu/Music.asp?mid=443	443					"For voice and piano with tablature for ukulele.|Ukulele arrangement by May Singhi Breen.|Includes excerpts from the composer's ""An Orange Grove in California"" on p. [2] and ""The Waltz of Long Ago"" on p. [6].|Second copy in folder."	English	First line of text|Gone is the romance that was so divine.	What'll I do?	"Berlin, Irving, 1888-1989|http://id.loc.gov/authorities/names/n50026116"	"Berlin, Irving, 1888-1989|http://id.loc.gov/authorities/names/n50026116"		Irving Berlin	"New York, NY"	1924			Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211 ; Revues--Excerpts--Vocal scores with piano|http://id.loc.gov/authorities/subjects/sh2008110797	Sheet music 30				The new music box revue ; The big city	"love, dreams"	443_1.jpg		6	182	N
http://sheetmusic.library.sc.edu/Music.asp?mid=445	445					"For voice and piano with tablature for ukulele.|Includes excerpts from other Harms selections on p. [2], [7], and [8].|Pl. no.: 8098-4"	English	First line of text|I laughed at sweet hearts. :: First line of chorus|I took one look at you.	My heart stood still	"Rodgers, Richard, 1902-1979|http://id.loc.gov/authorities/names/n50048058"	"Hart, Lorenz, 1895-1943|http://id.loc.gov/authorities/names/n81097890"		Harms	"New York, NY"	1927			Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211 ; Musicals--Excerpts--Vocal scores with piano|http://id.loc.gov/authorities/subjects/sh2008108139	Sheet music 31				A Connecticut Yankee	love	445_1.jpg		8	99	N
http://sheetmusic.library.sc.edu/Music.asp?mid=453	453					"For voice and piano.|Founded on Justin Huntly McCarthy's romance ""If I Were King.""|Musical play by Russell Janney.|Cover portrait of Carolyn Thomson.|Includes excerpts of ""big song hits"" on p. [2] and [6].|Second copy in key of B-flat in folder.|Pl. no.: 1703-3"	English	First line of text|Someday you will seek me and find me.	Some day	"Friml, Rudolf, 1879-1972|http://id.loc.gov/authorities/names/n80122773"	"Hooker, Brian, 1880-1946|http://id.loc.gov/authorities/names/n86839418"		Henry Waterson	"New York, NY"	1925			Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211 ; Musicals--Excerpts--Vocal scores with piano|http://id.loc.gov/authorities/subjects/sh2008108139	Sheet music 39				The vagabond king	"lover, soul"	453_1.jpg		6	136	N
http://sheetmusic.library.sc.edu/Music.asp?mid=454	454					"For voice and piano.|Founded on Justin Huntly McCarthy's romance ""If I Were King.""|Musical play by Russell Janney.|Includes excerpts from ""big song hits"" on p. [2] and ""Memories of France"" by Al Dubin and J. Russel Robinson on p. [6].|Pl. no.: 1699-3"	English	First line of text|Red rose out of the east.	Only a rose	"Friml, Rudolf, 1879-1972|http://id.loc.gov/authorities/names/n80122773"	"Hooker, Brian, 1880-1946|http://id.loc.gov/authorities/names/n86839418"		Henry Waterson	"New York, NY"	1925			Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211 ; Musicals--Excerpts--Vocal scores with piano|http://id.loc.gov/authorities/subjects/sh2008108139	Sheet music 40				The vagabond king	"love, song, rose"	454_1.jpg		6	191	N
http://sheetmusic.library.sc.edu/Music.asp?mid=460	460					For voice and piano.|Pl. no.: 29202	English	"First line of text|It's a brave, sweet world, for all its sights."	The hills of dawn	"Speaks, Oley, 1874-1948|http://id.loc.gov/authorities/names/n81047930"	"Stanton, Frank Lebby, 1857-1927|http://id.loc.gov/authorities/names/n81048017"		G. Schirmer	"New York, NY"	1919			Sacred songs (High voice) with piano|http://id.loc.gov/authorities/subjects/sh85116330	Sheet music 47				Two songs	"sorrow, morning song"	460_1.jpg		6	97	N
http://sheetmusic.library.sc.edu/Music.asp?mid=466	466					For voice and piano with tablature for ukulele.|Ukulele arrangement by Dan Dougherty.	English	"First line of text|Shadows are falling and night time is callin, this is the time for love."	Deep night	"Henderson, Charles, 1907-1970|http://id.loc.gov/authorities/names/n87911999"	"Vallée, Rudy, 1901-1986|http://id.loc.gov/authorities/names/n82152282"		"Ager, Yellen & Bornstein"	"New York, NY"	1929			Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211 ; Popular music--1921-1930|http://id.loc.gov/authorities/subjects/sh87003302	Sheet music 53					"love, yearning"			0	94	N
http://sheetmusic.library.sc.edu/Music.asp?mid=360	360					Cover portraits: Fred Astaire ; Ginger Rogers|Plate number: C-620-4	English	First line of text|Some day when I'm aw-f'ly low	The way you look tonight	"Kern, Jerome, 1885-1945|http://id.loc.gov/authorities/names/n80149466"	"Fields, Dorothy, 1905-1974|http://id.loc.gov/authorities/names/n81023046"		Chappell	"New York, NY"	1936	Dr. David G. Phillips		Popular music--1931-1940|http://id.loc.gov/authorities/subjects/sh87003303	Sheet music 355				Swing time				0	157	N
http://sheetmusic.library.sc.edu/Music.asp?mid=361	361					From the motion picture Roberta|Adapted from the novel by Alice Duer Miller	English		Yesterdays	"Kern, Jerome, 1885-1945|http://id.loc.gov/authorities/names/n80149466"	"Harbach, Otto, 1873-1963|http://id.loc.gov/authorities/names/no89000988"		T. B. Harms	"New York, NY"	1933	Dr. David G. Phillips		Motion picture music|http://id.loc.gov/authorities/subjects/sh85088056	Sheet music 356				Roberta				0	108	N
http://sheetmusic.library.sc.edu/Music.asp?mid=369	369			E. J. C.|		"Cover title.|For voice and piano.|At head of title: ""Reigning 'Coon' Song Hit of the Season!! Over 100,000 Copies Sold!!""|Pl. no.: 630-4|Cover artist: Artist monogram (probably E.J.C. or J.E.C.)"	English	First line of text|A hungry looking coon just come to town. :: First line of chorus|Deed I aint seen no messenger boy.	I ain't seen no messenger boy	"Bivins, Nathan|"	"Bivins, Nathan|"		Hugo V. Schlam	"New York, NY"	1899	Fred and Betsy Miller		African Americans--Songs and music|http://id.loc.gov/authorities/subjects/sh2011002554 ; Ragtime music--Songs and music| ; Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211	CSAM 51			CSAM			369_1.jpg		5	607	N
http://sheetmusic.library.sc.edu/Music.asp?mid=415	415					"Caption title.|For voice and piano.|""A rag-time nightmare""--Cover.|Pl. no.: 1810-6"	English	First line of text|A crap shootin' coon. :: First line of chorus|Put a smile on each face ev'ry coon now take your place.	The cake-walk in the sky : song and cake walk	"Harney, Benjamin Robertson, 1872-1938|http://id.loc.gov/authorities/names/n2001121461"	"Harney, Ben|http://id.loc.gov/authorities/names/n94031127"		M. Witmark & Sons	"New York, NY"	1899	Fred and Betsy Miller		Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211 ; Ragtime music|http://id.loc.gov/authorities/subjects/sh85110853	CSAM 33			CSAM			415_1.jpg		7	657	N
http://sheetmusic.library.sc.edu/Music.asp?mid=418	418					For medium voice and piano.|Dedicated to Miss Lucile M. Showalter.	Unknown		A little bit o' honey	"Jacobs-Bond, Carrie, 1862-1946|http://id.loc.gov/authorities/names/n85049048"	"Wilson, W. G.|"		Carrie Jacobs-Bond & Son	"Hollywood, CA"	1917	Fred and Betsy Miller		Songs (Medium voice) with piano|http://id.loc.gov/authorities/subjects/sh85125188	CSAM 36			CSAM			418_1.jpg		4	575	N
http://sheetmusic.library.sc.edu/Music.asp?mid=422	422			Starmer|http://id.loc.gov/authorities/names/no98132927		"Caption title.|For voice and piano.|""The screamingly funny coon shout success""--Cover."	English	First line of text|The day that Bill came home from war.	Who's been playin' papa 'round here while I've been gone	"Woods, Clarence, 1888-1956|http://id.loc.gov/authorities/names/n88006025"	"Woods, Clarence, 1888-1956|http://id.loc.gov/authorities/names/n88006025"		Seidel Music	"Indianapolis, IN"	1919	Fred and Betsy Miller		"World War, 1914-1918--United States--Songs and music|"	CSAM 40			CSAM			422_1.jpg		3	647	N
